iter	Passed	Remaining
0	59	17672
1	102	15273
2	154	15323
3	201	14900
4	241	14264
5	306	15035
6	355	14897
7	409	14944
8	457	14795
9	526	15280
10	577	15173
11	629	15096
12	682	15070
13	723	14781
14	796	15129
15	829	14729
16	872	14521
17	921	14441
18	977	14456
19	1048	14676
20	1097	14578
21	1129	14274
22	1182	14235
23	1233	14188
24	1302	14331
25	1356	14293
26	1461	14773
27	1556	15115
28	1629	15230
29	1682	15141
30	1794	15570
31	1873	15691
32	1934	15654
33	1994	15601
34	2081	15762
35	2141	15703
36	2203	15663
37	2269	15644
38	2332	15606
39	2410	15671
40	2467	15584
41	2506	15399
42	2574	15387
43	2626	15281
44	2677	15174
45	2729	15070
46	2795	15047
47	2849	14959
48	2900	14859
49	2951	14755
50	3004	14668
51	3082	14699
52	3133	14604
53	3201	14584
54	3266	14550
55	3348	14588
56	3412	14547
57	3472	14488
58	3531	14425
59	3609	14436
60	3667	14368
61	3694	14181
62	3759	14143
63	3843	14174
64	3902	14107
65	3962	14049
66	3996	13898
67	4051	13823
68	4129	13824
69	4186	13756
70	4237	13668
71	4290	13586
72	4361	13561
73	4417	13489
74	4469	13409
75	4523	13331
76	4576	13253
77	4634	13191
78	4683	13101
79	4732	13013
80	4781	12927
81	4840	12869
82	4894	12795
83	4943	12710
84	4992	12628
85	5040	12543
86	5106	12502
87	5156	12423
88	5206	12344
89	5238	12222
90	5288	12145
91	5349	12094
92	5400	12019
93	5448	11940
94	5497	11863
95	5547	11787
96	5569	11654
97	5634	11613
98	5662	11497
99	5711	11423
100	5759	11347
101	5809	11276
102	5872	11231
103	5921	11159
104	5969	11087
105	6019	11015
106	6068	10945
107	6134	10905
108	6183	10835
109	6231	10763
110	6281	10695
111	6328	10623
112	6392	10578
113	6439	10506
114	6489	10439
115	6537	10370
116	6569	10274
117	6618	10207
118	6679	10159
119	6727	10091
120	6767	10010
121	6816	9945
122	6866	9880
123	6929	9834
124	6978	9769
125	7028	9705
126	7075	9638
127	7127	9578
128	7198	9541
129	7249	9480
130	7298	9415
131	7350	9355
132	7411	9306
133	7462	9244
134	7510	9179
135	7561	9118
136	7610	9054
137	7687	9024
138	7737	8962
139	7760	8869
140	7810	8807
141	7862	8748
142	7930	8707
143	7982	8648
144	8035	8589
145	8077	8520
146	8129	8461
147	8193	8414
148	8241	8352
149	8290	8290
150	8312	8202
151	8351	8131
152	8404	8074
153	8469	8029
154	8527	7977
155	8576	7916
156	8625	7856
157	8673	7795
158	8741	7751
159	8788	7690
160	8830	7624
161	8882	7566
162	8932	7508
163	8997	7461
164	9048	7403
165	9098	7344
166	9149	7286
167	9202	7230
168	9273	7188
169	9331	7135
170	9382	7078
171	9407	7000
172	9460	6945
173	9533	6903
174	9591	6850
175	9648	6797
176	9707	6745
177	9746	6679
178	9815	6634
179	9868	6578
180	9920	6522
181	9977	6468
182	10048	6424
183	10100	6367
184	10156	6313
185	10217	6262
186	10278	6211
187	10329	6153
188	10379	6096
189	10429	6038
190	10479	5980
191	10547	5932
192	10603	5878
193	10623	5804
194	10637	5727
195	10686	5670
196	10736	5613
197	10791	5559
198	10844	5504
199	10893	5446
200	10943	5390
201	10990	5332
202	11044	5277
203	11077	5213
204	11127	5156
205	11176	5100
206	11225	5043
207	11274	4986
208	11340	4937
209	11389	4881
210	11438	4824
211	11478	4764
212	11526	4708
213	11568	4648
214	11624	4595
215	11675	4540
216	11725	4484
217	11775	4429
218	11842	4380
219	11866	4315
220	11920	4261
221	11968	4205
222	12017	4149
223	12081	4099
224	12129	4043
225	12180	3988
226	12230	3933
227	12279	3877
228	12340	3825
229	12399	3773
230	12448	3718
231	12498	3663
232	12554	3610
233	12608	3556
234	12657	3501
235	12706	3445
236	12755	3390
237	12817	3338
238	12868	3284
239	12919	3229
240	12969	3175
241	13018	3120
242	13083	3069
243	13132	3013
244	13183	2959
245	13231	2904
246	13280	2849
247	13294	2787
248	13364	2737
249	13412	2682
250	13463	2628
251	13511	2573
252	13575	2521
253	13620	2466
254	13669	2412
255	13719	2358
256	13767	2303
257	13845	2253
258	13895	2199
259	13942	2145
260	13991	2090
261	14041	2036
262	14106	1984
263	14157	1930
264	14205	1876
265	14252	1821
266	14301	1767
267	14370	1715
268	14419	1661
269	14467	1607
270	14517	1553
271	14567	1499
272	14632	1447
273	14681	1393
274	14729	1339
275	14778	1285
276	14826	1231
277	14868	1176
278	14918	1122
279	14967	1069
280	15016	1015
281	15063	961
282	15127	908
283	15182	855
284	15230	801
285	15278	747
286	15327	694
287	15388	641
288	15435	587
289	15484	533
290	15533	480
291	15582	426
292	15639	373
293	15687	320
294	15738	266
295	15785	213
296	15835	159
297	15896	106
298	15945	53
299	15994	0
